iteration,current_Check,current_Raise50,average_Check,average_Raise50
144,1.000000,0.000000,0.717329,0.282671
145,1.000000,0.000000,0.717329,0.282671
146,1.000000,0.000000,0.721149,0.278851
147,1.000000,0.000000,0.721149,0.278851
148,1.000000,0.000000,0.724867,0.275133
149,1.000000,0.000000,0.724867,0.275133
150,1.000000,0.000000,0.728487,0.271513
151,1.000000,0.000000,0.728487,0.271513
152,1.000000,0.000000,0.732013,0.267987
153,1.000000,0.000000,0.732013,0.267987
154,0.839556,0.160444,0.735388,0.264612
155,0.839556,0.160444,0.735388,0.264612
156,0.597868,0.402132,0.737271,0.262729
157,0.597868,0.402132,0.737271,0.262729
158,0.493666,0.506334,0.736136,0.263864
159,0.493666,0.506334,0.736136,0.263864
160,0.500012,0.499988,0.733990,0.266010
161,0.500012,0.499988,0.733990,0.266010
162,0.579002,0.420998,0.732214,0.267786
163,0.579002,0.420998,0.732214,0.267786
164,0.752047,0.247953,0.731826,0.268174
165,0.752047,0.247953,0.731826,0.268174
166,1.000000,0.000000,0.734123,0.265877
167,1.000000,0.000000,0.734123,0.265877
168,1.000000,0.000000,0.737251,0.262749
169,1.000000,0.000000,0.737251,0.262749
170,1.000000,0.000000,0.740307,0.259693
171,1.000000,0.000000,0.740307,0.259693
172,1.000000,0.000000,0.743291,0.256709
173,1.000000,0.000000,0.743291,0.256709
174,1.000000,0.000000,0.746209,0.253791
175,1.000000,0.000000,0.746209,0.253791
176,1.000000,0.000000,0.749060,0.250940
177,1.000000,0.000000,0.749060,0.250940
178,1.000000,0.000000,0.751848,0.248152
179,1.000000,0.000000,0.751848,0.248152
180,1.000000,0.000000,0.754575,0.245425
181,1.000000,0.000000,0.754575,0.245425
182,1.000000,0.000000,0.757243,0.242757
183,1.000000,0.000000,0.757243,0.242757
184,0.729001,0.270999,0.759533,0.240467
185,0.729001,0.270999,0.759533,0.240467
186,0.548619,0.451381,0.759651,0.240349
187,0.548619,0.451381,0.759651,0.240349
188,0.487375,0.512625,0.757935,0.242065
189,0.487375,0.512625,0.757935,0.242065
190,0.506475,0.493525,0.755798,0.244202
191,0.506475,0.493525,0.755798,0.244202
192,0.586321,0.413679,0.754077,0.245923
193,0.586321,0.413679,0.754077,0.245923
194,0.748936,0.251064,0.753502,0.246498
195,0.748936,0.251064,0.753502,0.246498
196,1.000000,0.000000,0.755132,0.244868
197,1.000000,0.000000,0.755132,0.244868
198,1.000000,0.000000,0.757581,0.242419
199,1.000000,0.000000,0.757581,0.242419
200,1.000000,0.000000,0.759981,0.240019
201,1.000000,0.000000,0.759981,0.240019
202,1.000000,0.000000,0.762334,0.237666
203,1.000000,0.000000,0.762334,0.237666
204,1.000000,0.000000,0.764642,0.235358
205,1.000000,0.000000,0.764642,0.235358
206,1.000000,0.000000,0.766905,0.233095
207,1.000000,0.000000,0.766905,0.233095
208,1.000000,0.000000,0.769125,0.230875
209,1.000000,0.000000,0.769125,0.230875
210,0.871532,0.128468,0.771267,0.228733
211,0.871532,0.128468,0.771267,0.228733
212,0.648105,0.351895,0.772530,0.227470
213,0.648105,0.351895,0.772530,0.227470
214,0.493343,0.506657,0.771641,0.228359
215,0.493343,0.506657,0.771641,0.228359
216,0.349346,0.650654,0.769293,0.230707
217,0.349346,0.650654,0.769293,0.230707
218,0.325911,0.674089,0.765984,0.234016
219,0.325911,0.674089,0.765984,0.234016
220,0.386880,0.613120,0.762714,0.237286
221,0.386880,0.613120,0.762714,0.237286
222,0.524266,0.475734,0.760178,0.239822
223,0.524266,0.475734,0.760178,0.239822
224,0.736434,0.263566,0.759082,0.240918
225,0.736434,0.263566,0.759082,0.240918
226,1.000000,0.000000,0.760283,0.239717
227,1.000000,0.000000,0.760283,0.239717
228,1.000000,0.000000,0.762368,0.237632
229,1.000000,0.000000,0.762368,0.237632
230,1.000000,0.000000,0.764417,0.235583
231,1.000000,0.000000,0.764417,0.235583
232,1.000000,0.000000,0.766430,0.233570
233,1.000000,0.000000,0.766430,0.233570
234,1.000000,0.000000,0.768409,0.231591
235,1.000000,0.000000,0.768409,0.231591
236,1.000000,0.000000,0.770356,0.229644
237,1.000000,0.000000,0.770356,0.229644
238,1.000000,0.000000,0.772269,0.227731
239,1.000000,0.000000,0.772269,0.227731
240,1.000000,0.000000,0.774151,0.225849
241,1.000000,0.000000,0.774151,0.225849
242,1.000000,0.000000,0.776003,0.223997
243,1.000000,0.000000,0.776003,0.223997
244,0.952405,0.047595,0.777824,0.222176
245,0.952405,0.047595,0.777824,0.222176
246,0.713062,0.286938,0.779208,0.220792
247,0.713062,0.286938,0.779208,0.220792
248,0.563724,0.436276,0.778922,0.221078
249,0.563724,0.436276,0.778922,0.221078
250,0.439403,0.560597,0.777378,0.222622
251,0.439403,0.560597,0.777378,0.222622
252,0.312114,0.687886,0.774862,0.225138
253,0.312114,0.687886,0.774862,0.225138
254,0.277074,0.722926,0.771611,0.228389
255,0.277074,0.722926,0.771611,0.228389
256,0.310675,0.689325,0.768294,0.231706
257,0.310675,0.689325,0.768294,0.231706
258,0.389485,0.610515,0.765351,0.234649
259,0.389485,0.610515,0.765351,0.234649
260,0.497977,0.502023,0.763078,0.236922
261,0.497977,0.502023,0.763078,0.236922
262,0.626396,0.373604,0.761696,0.238304
263,0.626396,0.373604,0.761696,0.238304
264,0.789005,0.210995,0.761434,0.238566
265,0.789005,0.210995,0.761434,0.238566
266,1.000000,0.000000,0.762688,0.237312
267,1.000000,0.000000,0.762688,0.237312
268,1.000000,0.000000,0.764446,0.235554
269,1.000000,0.000000,0.764446,0.235554
270,1.000000,0.000000,0.766178,0.233822
271,1.000000,0.000000,0.766178,0.233822
272,1.000000,0.000000,0.767885,0.232115
273,1.000000,0.000000,0.767885,0.232115
274,1.000000,0.000000,0.769567,0.230433
275,1.000000,0.000000,0.769567,0.230433
276,1.000000,0.000000,0.771224,0.228776
277,1.000000,0.000000,0.771224,0.228776
278,1.000000,0.000000,0.772858,0.227142
279,1.000000,0.000000,0.772858,0.227142
280,0.792069,0.207931,0.774322,0.225678
281,0.792069,0.207931,0.774322,0.225678
282,0.632156,0.367844,0.774694,0.225306
283,0.632156,0.367844,0.774694,0.225306
284,0.509587,0.490413,0.773845,0.226155
285,0.509587,0.490413,0.773845,0.226155
286,0.407239,0.592761,0.772150,0.227850
287,0.407239,0.592761,0.772150,0.227850
288,0.359304,0.640696,0.769872,0.230128
