iteration,current_Check,current_Raise50,average_Check,average_Raise50
144,0.559630,0.440370,0.910885,0.089115
145,0.559630,0.440370,0.910885,0.089115
146,0.608591,0.391409,0.907810,0.092190
147,0.608591,0.391409,0.907810,0.092190
148,0.806766,0.193234,0.906271,0.093729
149,0.806766,0.193234,0.906271,0.093729
150,1.000000,0.000000,0.907082,0.092918
151,1.000000,0.000000,0.907082,0.092918
152,1.000000,0.000000,0.908289,0.091711
153,1.000000,0.000000,0.908289,0.091711
154,1.000000,0.000000,0.909465,0.090535
155,1.000000,0.000000,0.909465,0.090535
156,1.000000,0.000000,0.910611,0.089389
157,1.000000,0.000000,0.910611,0.089389
158,1.000000,0.000000,0.911728,0.088272
159,1.000000,0.000000,0.911728,0.088272
160,1.000000,0.000000,0.912818,0.087182
161,1.000000,0.000000,0.912818,0.087182
162,1.000000,0.000000,0.913881,0.086119
163,1.000000,0.000000,0.913881,0.086119
164,1.000000,0.000000,0.914919,0.085081
165,1.000000,0.000000,0.914919,0.085081
166,1.000000,0.000000,0.915932,0.084068
167,1.000000,0.000000,0.915932,0.084068
168,1.000000,0.000000,0.916921,0.083079
169,1.000000,0.000000,0.916921,0.083079
170,1.000000,0.000000,0.917887,0.082113
171,1.000000,0.000000,0.917887,0.082113
172,1.000000,0.000000,0.918830,0.081170
173,1.000000,0.000000,0.918830,0.081170
174,1.000000,0.000000,0.919753,0.080247
175,1.000000,0.000000,0.919753,0.080247
176,1.000000,0.000000,0.920654,0.079346
177,1.000000,0.000000,0.920654,0.079346
178,1.000000,0.000000,0.921536,0.078464
179,1.000000,0.000000,0.921536,0.078464
180,1.000000,0.000000,0.922398,0.077602
181,1.000000,0.000000,0.922398,0.077602
182,1.000000,0.000000,0.923242,0.076758
183,1.000000,0.000000,0.923242,0.076758
184,1.000000,0.000000,0.924067,0.075933
185,1.000000,0.000000,0.924067,0.075933
186,1.000000,0.000000,0.924875,0.075125
187,1.000000,0.000000,0.924875,0.075125
188,1.000000,0.000000,0.925666,0.074334
189,1.000000,0.000000,0.925666,0.074334
190,1.000000,0.000000,0.926440,0.073560
191,1.000000,0.000000,0.926440,0.073560
192,1.000000,0.000000,0.927198,0.072802
193,1.000000,0.000000,0.927198,0.072802
194,1.000000,0.000000,0.927941,0.072059
195,1.000000,0.000000,0.927941,0.072059
196,1.000000,0.000000,0.928669,0.071331
197,1.000000,0.000000,0.928669,0.071331
198,1.000000,0.000000,0.929382,0.070618
199,1.000000,0.000000,0.929382,0.070618
200,1.000000,0.000000,0.930082,0.069918
201,1.000000,0.000000,0.930082,0.069918
202,1.000000,0.000000,0.930767,0.069233
203,1.000000,0.000000,0.930767,0.069233
204,1.000000,0.000000,0.931439,0.068561
205,1.000000,0.000000,0.931439,0.068561
206,0.866142,0.133858,0.932053,0.067947
207,0.866142,0.133858,0.932053,0.067947
208,0.601221,0.398779,0.931824,0.068176
209,0.601221,0.398779,0.931824,0.068176
210,0.534839,0.465161,0.929520,0.070480
211,0.534839,0.465161,0.929520,0.070480
212,0.603022,0.396978,0.926897,0.073103
213,0.603022,0.396978,0.926897,0.073103
214,0.815594,0.184406,0.925475,0.074525
215,0.815594,0.184406,0.925475,0.074525
216,1.000000,0.000000,0.925863,0.074137
217,1.000000,0.000000,0.925863,0.074137
218,1.000000,0.000000,0.926537,0.073463
219,1.000000,0.000000,0.926537,0.073463
220,1.000000,0.000000,0.927199,0.072801
221,1.000000,0.000000,0.927199,0.072801
222,1.000000,0.000000,0.927849,0.072151
223,1.000000,0.000000,0.927849,0.072151
224,1.000000,0.000000,0.928488,0.071512
225,1.000000,0.000000,0.928488,0.071512
226,1.000000,0.000000,0.929115,0.070885
227,1.000000,0.000000,0.929115,0.070885
228,1.000000,0.000000,0.929731,0.070269
229,1.000000,0.000000,0.929731,0.070269
230,1.000000,0.000000,0.930337,0.069663
231,1.000000,0.000000,0.930337,0.069663
232,1.000000,0.000000,0.930932,0.069068
233,1.000000,0.000000,0.930932,0.069068
234,1.000000,0.000000,0.931518,0.068482
235,1.000000,0.000000,0.931518,0.068482
236,1.000000,0.000000,0.932093,0.067907
237,1.000000,0.000000,0.932093,0.067907
238,1.000000,0.000000,0.932659,0.067341
239,1.000000,0.000000,0.932659,0.067341
240,1.000000,0.000000,0.933216,0.066784
241,1.000000,0.000000,0.933216,0.066784
242,1.000000,0.000000,0.933763,0.066237
243,1.000000,0.000000,0.933763,0.066237
244,1.000000,0.000000,0.934302,0.065698
245,1.000000,0.000000,0.934302,0.065698
246,1.000000,0.000000,0.934831,0.065169
247,1.000000,0.000000,0.934831,0.065169
248,1.000000,0.000000,0.935353,0.064647
249,1.000000,0.000000,0.935353,0.064647
250,1.000000,0.000000,0.935866,0.064134
251,1.000000,0.000000,0.935866,0.064134
252,1.000000,0.000000,0.936371,0.063629
253,1.000000,0.000000,0.936371,0.063629
254,1.000000,0.000000,0.936868,0.063132
255,1.000000,0.000000,0.936868,0.063132
256,1.000000,0.000000,0.937357,0.062643
257,1.000000,0.000000,0.937357,0.062643
258,1.000000,0.000000,0.937839,0.062161
259,1.000000,0.000000,0.937839,0.062161
260,1.000000,0.000000,0.938314,0.061686
261,1.000000,0.000000,0.938314,0.061686
262,1.000000,0.000000,0.938781,0.061219
263,1.000000,0.000000,0.938781,0.061219
264,1.000000,0.000000,0.939241,0.060759
265,1.000000,0.000000,0.939241,0.060759
266,1.000000,0.000000,0.939695,0.060305
267,1.000000,0.000000,0.939695,0.060305
268,1.000000,0.000000,0.940141,0.059859
269,1.000000,0.000000,0.940141,0.059859
270,1.000000,0.000000,0.940582,0.059418
271,1.000000,0.000000,0.940582,0.059418
272,1.000000,0.000000,0.941015,0.058985
273,1.000000,0.000000,0.941015,0.058985
274,1.000000,0.000000,0.941443,0.058557
275,1.000000,0.000000,0.941443,0.058557
276,1.000000,0.000000,0.941864,0.058136
277,1.000000,0.000000,0.941864,0.058136
278,1.000000,0.000000,0.942279,0.057721
279,1.000000,0.000000,0.942279,0.057721
280,1.000000,0.000000,0.942689,0.057311
281,1.000000,0.000000,0.942689,0.057311
282,1.000000,0.000000,0.943092,0.056908
283,1.000000,0.000000,0.943092,0.056908
284,1.000000,0.000000,0.943490,0.056510
285,1.000000,0.000000,0.943490,0.056510
286,1.000000,0.000000,0.943883,0.056117
287,1.000000,0.000000,0.943883,0.056117
288,1.000000,0.000000,0.944270,0.055730
289,1.000000,0.000000,0.944270,0.055730
290,1.000000,0.000000,0.944651,0.055349
291,1.000000,0.000000,0.944651,0.055349
292,0.825530,0.174470,0.944974,0.055026
293,0.825530,0.174470,0.944974,0.055026
294,0.661656,0.338344,0.944728,0.055272
295,0.661656,0.338344,0.944728,0.055272
296,0.650780,0.349220,0.943545,0.056455
297,0.650780,0.349220,0.943545,0.056455
298,0.732701,0.267299,0.942471,0.057529
299,0.732701,0.267299,0.942471,0.057529
300,0.949881,0.050119,0.942345,0.057655
301,0.949881,0.050119,0.942345,0.057655
302,1.000000,0.000000,0.942699,0.057301
303,1.000000,0.000000,0.942699,0.057301
304,1.000000,0.000000,0.943074,0.056926
305,1.000000,0.000000,0.943074,0.056926
306,1.000000,0.000000,0.943443,0.056557
307,1.000000,0.000000,0.943443,0.056557
308,1.000000,0.000000,0.943808,0.056192
309,1.000000,0.000000,0.943808,0.056192
310,1.000000,0.000000,0.944169,0.055831
311,1.000000,0.000000,0.944169,0.055831
312,1.000000,0.000000,0.944524,0.055476
313,1.000000,0.000000,0.944524,0.055476
314,1.000000,0.000000,0.944875,0.055125
315,1.000000,0.000000,0.944875,0.055125
316,1.000000,0.000000,0.945222,0.054778
317,1.000000,0.000000,0.945222,0.054778
318,1.000000,0.000000,0.945564,0.054436
319,1.000000,0.000000,0.945564,0.054436
320,1.000000,0.000000,0.945902,0.054098
321,1.000000,0.000000,0.945902,0.054098
322,1.000000,0.000000,0.946236,0.053764
323,1.000000,0.000000,0.946236,0.053764
324,1.000000,0.000000,0.946566,0.053434
325,1.000000,0.000000,0.946566,0.053434
326,1.000000,0.000000,0.946892,0.053108
327,1.000000,0.000000,0.946892,0.053108
328,1.000000,0.000000,0.947214,0.052786
329,1.000000,0.000000,0.947214,0.052786
330,1.000000,0.000000,0.947532,0.052468
331,1.000000,0.000000,0.947532,0.052468
332,1.000000,0.000000,0.947846,0.052154
333,1.000000,0.000000,0.947846,0.052154
334,1.000000,0.000000,0.948157,0.051843
335,1.000000,0.000000,0.948157,0.051843
336,1.000000,0.000000,0.948463,0.051537
337,1.000000,0.000000,0.948463,0.051537
338,1.000000,0.000000,0.948766,0.051234
339,1.000000,0.000000,0.948766,0.051234
340,1.000000,0.000000,0.949066,0.050934
341,1.000000,0.000000,0.949066,0.050934
342,1.000000,0.000000,0.949362,0.050638
343,1.000000,0.000000,0.949362,0.050638
344,1.000000,0.000000,0.949655,0.050345
345,1.000000,0.000000,0.949655,0.050345
346,1.000000,0.000000,0.949944,0.050056
347,1.000000,0.000000,0.949944,0.050056
348,1.000000,0.000000,0.950230,0.049770
349,1.000000,0.000000,0.950230,0.049770
350,1.000000,0.000000,0.950513,0.049487
351,1.000000,0.000000,0.950513,0.049487
352,1.000000,0.000000,0.950793,0.049207
353,1.000000,0.000000,0.950793,0.049207
354,1.000000,0.000000,0.951069,0.048931
355,1.000000,0.000000,0.951069,0.048931
356,1.000000,0.000000,0.951342,0.048658
357,1.000000,0.000000,0.951342,0.048658
358,1.000000,0.000000,0.951613,0.048387
359,1.000000,0.000000,0.951613,0.048387
360,1.000000,0.000000,0.951880,0.048120
361,1.000000,0.000000,0.951880,0.048120
362,1.000000,0.000000,0.952144,0.047856
363,1.000000,0.000000,0.952144,0.047856
364,1.000000,0.000000,0.952406,0.047594
365,1.000000,0.000000,0.952406,0.047594
366,1.000000,0.000000,0.952665,0.047335
367,1.000000,0.000000,0.952665,0.047335
368,1.000000,0.000000,0.952921,0.047079
369,1.000000,0.000000,0.952921,0.047079
370,1.000000,0.000000,0.953174,0.046826
